best-d,best,base+g,base
330,257,502,622
330,257,502,623
330,257,502,623
330,257,502,623
330,257,502,623
330,257,502,623
330,257,502,623
330,257,502,623
330,257,502,623
330,257,504,623
330,257,504,623
330,257,504,624
330,257,504,624
330,257,504,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,624
330,257,505,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,625
330,257,506,626
330,257,506,626
330,257,507,626
330,257,507,626
330,257,507,626
330,257,507,626
330,257,507,626
330,257,507,626
330,257,507,626
330,258,507,626
330,258,507,627
330,260,507,627
331,260,507,627
331,260,507,627
331,260,508,627
331,260,508,627
331,260,508,627
331,260,508,627
331,260,508,627
331,260,508,627
332,260,508,627
332,260,508,628
333,260,508,628
333,260,508,628
333,260,509,628
333,260,509,628
333,260,509,628
333,260,509,628
333,260,509,628
333,260,509,628
333,260,509,628
333,260,509,628
333,260,509,629
333,260,509,629
333,260,510,629
333,260,510,629
333,260,510,629
333,260,510,629
333,260,510,629
333,260,510,629
333,260,510,629
333,260,510,629
333,260,510,630
333,260,510,630
333,260,510,630
333,260,510,630
333,260,511,630
333,260,511,630
333,260,511,630
333,260,511,630
333,260,511,630
333,260,511,630
333,260,511,630
333,260,511,631
333,260,511,631
333,260,511,631
333,260,512,631
333,260,512,631
333,260,512,631
333,260,512,631
333,260,512,631
333,260,512,631
333,260,512,631
333,260,512,631
333,260,512,632
333,260,512,632
333,260,512,632
333,260,512,632
333,260,513,632
333,260,513,632
333,260,513,632
333,260,513,632
333,261,513,632
333,261,513,632
333,261,513,632
333,261,513,633
333,261,514,633
333,261,514,633
333,261,514,633
333,261,514,633
333,261,514,633
333,261,514,633
333,261,514,633
333,261,514,633
333,261,515,633
333,263,515,633
334,263,515,634
334,263,515,634
334,263,515,634
334,263,515,634
334,263,515,634
334,263,515,634
334,263,515,634
334,263,515,634
334,263,516,634
335,263,516,634
335,263,516,634
335,263,516,635
335,263,516,635
335,263,516,635
335,263,516,635
336,263,516,635
336,263,516,635
336,263,516,635
336,263,518,635
336,263,518,635
336,263,518,635
336,263,518,635
336,263,518,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,636
336,263,519,637
336,263,520,637
336,263,520,637
336,263,520,637
336,263,520,637
336,263,520,637
336,263,520,637
336,263,520,637
336,263,520,637
336,263,520,638
336,263,520,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,638
336,263,521,639
336,263,521,639
336,263,521,639
336,264,522,639
336,264,522,639
336,264,522,639
336,266,522,639
336,266,522,639
336,266,522,639
336,266,522,640
336,266,522,640
336,266,522,640
336,266,522,640
336,266,523,640
336,266,523,640
338,266,523,640
338,266,523,640
338,266,523,640
338,266,523,640
338,266,523,640
339,266,523,641
339,266,523,641
339,266,523,641
339,266,523,641
339,266,523,641
339,266,524,641
339,266,524,641
339,266,524,641
339,266,524,641
339,266,524,642
339,266,524,642
339,266,524,642
339,266,524,642
339,266,526,642
339,266,526,642
339,266,526,642
339,266,526,642
339,266,526,642
339,266,526,642
339,266,526,642
339,266,526,643
339,266,526,643
339,266,526,643
339,266,527,643
339,266,527,643
339,266,527,643
339,266,527,643
339,266,527,643
339,266,527,643
339,266,527,643
339,266,527,644
339,266,527,644
339,266,527,644
